"title";"reference";"requirements";"hours";"tasks";"activities";"location";"salary";"type";"period";"link"
"74";"Prácticas extracurriculares Consell Econòmic i Social";"51299";"Datos de interés, Catalán, Microsoft Excel, Microsoft Word, Grado de Historia, Grado de Economía, Grado de Administración de Empresas, Doble titulación: grado de administración de empresas y grado de derecho, Inglés";"4";"- Investigación documental- Revisión de documentos técnicos- Trabajo con estadísticas oficiales (INE, IBESTAT,..)Apoyo en la elaboración de la Memoria anual, incluye:- El panorama económico territorial y por sectores.- Mercado de trabajo y políticas de ocupación.- Calidad de vida y estado del bienestar.";"";"Palma";"360";"Prácticas para estudiantes universitarios grado y postgrado";"18/02/2019 - 30/09/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51299.html?locale=es"
"75";"Becario/a departamento RRHH";"51290";"Datos de interés, Grado de Relaciones Laborales";"5";"-Apoyo en labores de comunicación de altas/bajas/variaciones en TGSS.-Apoyo en gestión de contratos y en introducción de trabajadores en la base de datos de nómina.-Apoyo en vencimientos de contratos.-Apoyo en control de absentismos(bajas médicas, vacaciones, permisos..)- Apoyo en el cálculo de nóminas y finiquitos.- Apoyo en la gestión de documentación y control de presencia.";"Hosteleria";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"01/03/2019 - 31/05/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51290.html?locale=es"
"76";"Contable junior (aux.contable)";"51287";"Datos de interés, Inglés, Contable, Microsoft Excel, Grado de Administración de Empresas";;"Se precisa contable junior o auxiliar contable para incorporar en nuestra plantilla. La persona que se incorpore se encargará de las siguientes funciones:	- Actualizar hojas de cálculo financieras con transacciones diarias. - Preparar hojas de balance. - Seguimiento y conciliación de estados de cuenta bancarios. - Procesar pagos de impuestos. - Apoyar la nómina mensual y mantener registros organizados. - Registro de cuentas por pagar y cuentas por cobrar. - Procesar facturas y seguimiento con proveedores según sea necesario. - Proporcionar apoyo administrativo. - Participa en auditorías trimestrales y anuales.";"Editorial académica de acceso abierto";"Barcelona";"900-1000";"Oferta laboral";"11/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51287.html?locale=es"
"77";"Administración/Gestión de proveedores";"51255";"Datos de interés, Diplomatura en ciencias empresariales, Grado de Ciencias Empresariales, Grado de Administración de Empresas";;"Administración de proveedoresControl stocksFacturaciones de venta";"Venda a l'engròs d'alimentació";"Inca";"1300,00";"Oferta laboral";"28/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51255.html?locale=es"
"78";"Recepcionista y gestor/a de redes sociales";"51154";"Datos de interés, Inglés, Alemán, Grado de Turismo, Dirección Hotelera Internacional";"4";"Trabajos propios de un/a recepcionista y gestor/a de las redes sociales del apartahotel.";"HOSTELERIA";"Palma";"360";"Prácticas para estudiantes universitarios grado y postgrado";"01/02/2019 - 12/08/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51154.html?locale=es"
"79";"Estudiante en prácticas";"50738";"Datos de interés, Grado de Derecho, Doble titulación: grado de administración de empresas y grado de derecho";"5";"El objetivo de las prácticas será conocer desde dentro de nuestro ámbito de asesoramiento, la dinámica de trabajo en equipo, la asunción de los procedimientos del despacho y el desarrollo de competencias técnicas y de gestión.Perfiles solicitados: Estudiantes de grado (Derecho o en dobles titulaciones que incluyan Derecho) con gran motivación profesional, capacidad de aprendizaje, sólidos conocimientos jurídicos y alto nivel de inglés. Asimismo, buscamos en nuestros futuros profesionales otras cualidades que forman parte de nuestros valores y principios, como son la iniciativa e innovación, el compromiso, la responsabilidad y la integridad.Las tareas estarán ligadas a la práctica del derecho donde se incorporen:- Investigación de normativa y jurisprudencia.- Apoyo en la elaboración de escritos.- Participación en investigaciones relacionadas con las consultas planteadas por los clientes.- Apoyo general en la redacción de contratos, y tareas de diversa índole en función del área de especialidad jurídica-fiscal asignada.";"Assessoria legal i fiscal";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"21/01/2019 - 17/05/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50738.html?locale=es"
"80";"Prácticas Departamento Gestión Energética";"50550";"Datos de interés, Grado de Ingeniería Electrónica Industrial y Automática, Máster Universitario en Ingenería Industrial";"3";"Integración en el departamento de estudios energéticos con funciones principales basadas en:- Realización de estudios enfocados a la optimización y eficiencia energética- Gestión de consumos energéticos de instalaciones- Análisis mercados energéticos- Redacción de informes energéticos- Gestión de proveedores del sector energético- Realización de auditorías energéticas";"Ingeniería Energética";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"07/01/2019 - 30/09/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50550.html?locale=es"
"81";"Shop Assistant/ Chocolatier Apprentice";"16559";"NA";;;"Fabricar y vender chocolate Artesanal";"Palma";;;"16/01/2019 - 28/02/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-16559.html?locale=es"
"82";"Atención en tienda de vinos y visitas guiadas";"16540";"NA";;;"ENOTURISMO";"Binissalem";;;"16/01/2019 - 28/02/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-16540.html?locale=es"
"83";"Auxiliar administrativo/va";"51295";"Datos de interés, Inglés, Francés, Alemán, Grado de Administración de Empresas, Doble titulación: grado de administración de empresas y grado de derecho, Doble titulación: grado de administración de empresas y grado de turismo, Licenciatura en administración y dirección de empresas, Grado de Ciencias Empresariales";;"Realizar funciones administrativas en un ámbito internacional.- Dominar un idioma: francés o alemán.- Hablar inglés de forma fluida.- Usuario/a avanzado Excel.- Conocimientos de contabilidad.";"Agencia de viatges";"Palma";"17200";"Oferta laboral";"20/01/2019 - 15/01/2020";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51295.html?locale=es"
"84";"Arquitecto/a Técnico (Dirección Ejecución)";"51289";"Datos de interés, Arquitectura técnica, Grado de Arquitectura, Grado de Ingeniería de Edificación";;"Salas Plushabit, S.L. requiere incorporar a un aparejador que se responsabilizará de la dirección de ejecución de las obras asignadas. Tiene que garantizar que la obra se ejecute con los parámetros previstos de costes, calidad y seguridad, respetando el proyecto.Proyectos:-Partiendo del proyecto realizado por el equipo de proyectos, realiza o supervisa las mediciones y el presupuesto.Licitación y presupuesto:-Licitación de la obra, negociación de precio con las empresas constructoras.Ejecución de la Obra:-Asume la dirección facultativa de las obras.-Controla la ejecución de la obra para conseguir los parámetros previstos de costes, calidad y seguridad.-Controla que todas las viviendas estén correctas según el proyecto y cumplan las exigencias establecidas por la Cta.-Estudia, valora y consensua con la constructora las diferentes patologías que puedan existir durante la construcción de la promoción o una vez finalizadas.-Realiza el control de calidad, según criterios establecidos por la Cta.-Valida los certificados mensualesPuesto Venta:-Colabora con el equipo de Puesto Venta para dar cobertura a las incidencias que aparezcan en los años posteriores a la entrega.";"Gestión de promociones inmobiliarias";"Palma";"30000";"Oferta laboral";"11/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51289.html?locale=es"
"85";"Técnico/a en ciberseguridad";"51286";"Datos de interés, Java, Ingeniería técnica en informática de gestión, Ingeniería en informática, Grado de Ingeniería Informática";;"Dar soporte al equipo de seguridad de Intec. Se necesita tener experiencia profesional en java y conocer el SDLC. Se valorarán conocimientos en ciberseguridad.";"INTEC TRAMUNTANA, S.L.";"Palma";"A convenir";"Oferta laboral";"01/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51286.html?locale=es"
"86";"Prácticas delineante/aparejador";"51267";"Datos de interés, Grado de Ingeniería de Edificación, Inglés";"5";"-Delineación de planos-Medición de proyectos-Apoyo a los aparejadores en tareas de gestión del despacho";"ARQUITECTURA TÉCNICA";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"01/02/2019 - 31/07/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51267.html?locale=es"
"87";"English speaking Guide";"51180";"Datos de interés, Inglés, Catalán, Castellano, Grado de Turismo, Alemán";;"The Mallorca Urban Adventures team is searching for passionate and enthusiastic people to join our already awesome team. Local students from the tourism faculty, environmental guides, recent graduates in tourism? you are all welcome! No need to have in-depth knowledge of Palma and Mallorca although that could help. We care more about you being an extrovert, good with people and a great performer. The rest we can teach. With your passion and our knowledge, we can truly deliver the Best. Day. Ever. to our foreign guests. We are currently seeking individuals for employed positions as tour guides in Palma.Requirements:- Fluency in English and/or German plus mother tongue in Catalan and Spanish- Student or recent graduate in one or more of the following: tourism, environmental studies, tour guiding- Enthusiastic about the history, the food, the nature and the local culture of Palma and Mallorca- Comfortable speaking in front of groups of people- Have a positive can-do attitude, problem-solving skills, sense of humor and friendly personality- Perform well under pressure and demonstrate good judgment and communication skills- Be able to commit to giving tours at least 25 hours per week, including weekendsPreference will be given to candidates who:- Demonstrate verbal fluency in a language other than English (in particular German)- Time flexibility (in particular for weekends or evenings)We reward our guides with:- incentives,- travel perks,- professional development opportunities,- access to a global community of 1,000+ guidesContract conditionsWe will start with a part-time contract from March to October with an hourly salary that we can set up depending on your needs and goals. You only have to work around 25 hours a week guiding local experiences (sometimes on weekends), so you will have plenty of time for whatever personal project you might be working on. As we respect your flexibility, we will also work on giving you free time when you need it; we just need to know it in advance. At the end of the seasonal work contract, we will decide together if we want to keep the contract and turn it into a permanent contract of 8 months per year.";"Turisme Sostenible";"Palma";"1000";"Oferta laboral";"28/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51180.html?locale=es"
"88";"Prácticas de Asistente de Márqueting";"51114";"Datos de interés, Inglés, Grado de Turismo, Grado de Administración de Empresas, Grado de Economía, Doble titulación: grado de administración de empresas y grado de turismo, Doble titulación: grado de economia y grado de turismo, Microsoft Word, Microsoft Excel";"5";"- Análisis de la competencia.- Generación, tratamiento y calificación de basede datos de potenciales clientes.- Gestión del CRM.- Colaboración en la edición de emailings comerciales lanzamiento y seguimiento.- El·laboració de reportes.- Gestión del CMS";"Tecnologia pel sector turístic";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"21/01/2019 - 17/06/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51114.html?locale=es"
"89";"Prácticas en Gestoría España";"50926";"Datos de interés, Grado de Administración de Empresas, Grado de Economía, Máster Universitario en Contabilidad y Auditoria";"4";"El/la alumno/a participará en las tareas diarias de la empresa:- Colaborar con la contabilidad de las pequeñas empresas (personas jurídicas y físicas)- Dar apoyo a la empresa con la confección de impuestos trimestrales- Participar con la formulación de cuentas anuales";"Asesoramiento Fiscal y contable";"Palma";"360";"Prácticas para estudiantes universitarios grado y postgrado";"08/01/2019 - 30/06/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50926.html?locale=es"
"90";"P2P Executive";"50901";"Datos de interés, Grado de Administración de Empresas, Licenciatura en administración y dirección de empresas";;"Este puesto trata principalmente de la revisión del nuevo método de pago a través de tarjetas virtuales. Principales tareas:- Revisión de incidencias de pagos con tarjeta virtual. Para ello se trabaja con varios sistemas internos:- JIRA- Atlas 11g- Atlas 2.0- SAP- Plataformas bancarias- Cuadre e informes de proveedores , afectado por vía de pago con tarjeta virtual- Cuadre y pago a entidades de crédito ( banco)  que nos ofrecen el producto-Saber utilizar EXCEL a nivel de tablas dinámicas para informes solicitadosSe necesita:- Conocimientos básicos de contabilidad, para poder entender las relaciones contables de estos procesos que incluye: pagos, cobros, divisas.- Inglés : medio - Ganas de solventar incidencias.  Lo primero es el hotel y gestionar bien las respuesta - Al ser un nuevo proyecto y que sigue cambiando, conviene saber controlar la presión. Al dar soporte tanto a cliente interno como externo, fluye información en varias direcciones.- Se intenta que el equipo pueda asumir cualquiera de las áreas, aunque se intentará especialización. Es de gran ayuda tener disposición a cambios de tarea para ir normalizando las situaciones.";"Turismo";"Palma";"NA";"Oferta laboral";"28/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50901.html?locale=es"
"91";"Técnico/a de administración de personal";"50874";"Datos de interés, Inglés, Grado de Relaciones Laborales, Grado de Administración de Empresas, Diplomatura en relaciones laborales, Licenciatura en administración y dirección de empresas, Grado de Administración de Empresas y Grado de Derecho, Diplomatura en graduado social, Alemán";;"- Realizar el proceso administrativo asociado a la relación laboral de los empleados (contratación, altas / bajas, liquidaciones, vacaciones, estadísticas de plantillas).- Utilización de los programas de la administración vinculados en su punto anterior, contrat @, certific @, siltr @, delt @.- Mantenimiento de las bases de datos específicas de administración de personal.- Gestión del absentismo (ausencias por enfermedad, maternidad, etc.)- Apoyar a la gestión de la nómina, tanto en los conceptos salariales de convenio como las variables.- Colaborar en la gestión y control de la prevención de riesgos.- Colaborar en la gestión y control de la implantación del registro horario automatizado y seguimiento del manual.";"Activitats esportives i d'oci per adults, hoteleria i restauració.";"Palma";"1400";"Oferta laboral";"28/01/2019 - 30/06/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50874.html?locale=es"
"92";"Content Manager Jr für den deutschen Market";"49137";"Datos de interés, Alemán, Grado de Administración de Empresas, Grado de Turismo, Doble titulación: grado de administración de empresas y grado de turismo, Castellano, Inglés";"5";"Main functions:As part of the Content Marketing Department, you will be responsible for the italian market and will work to increase its traffic and performance. You will work on a variety of innovative projects within the sector which will include: -Creating content for the blog for SEO and social media purposes. -Email marketing campaigns and benchmarking:You will analyse the data of searches and website traffic to create relevant and exciting campaigns that will generate more traffic towards our site and also excellent conversion rates.Trialling A/B tests to improve the performance and user experience of campaigns and our brand.-Creating push notification campaigns:Here at Hundredrooms, you will have the opportunity to learn everything there is to know about one of the most exciting e-marketing channels that is emerging in 2018.You will develop a series of various campaigns and segmented sends that are in keeping with a strategy of personalised and quality content.-Social media marketing:You choose the content that we publish every week, and decide how and when we do it by carrying out A/B tests to see what works best for your market.-Measuring the impact of our content strategy by analysing our main KPIs";"El primer metabuscador creado con el objetivo de ofrecer la mejor calidad al menor precio de apartamentos, hoteles y casas para que tu búsqueda sea más rápida y fácil.";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"21/01/2019 - 31/05/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-49137.html?locale=es"
"93";"Administrador/a-cocina Casa Colònies Binicanella";"16539";"NA";;;"Ocio educativo";"";;;"15/01/2019 - 30/09/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-16539.html?locale=es"
"94";"Fisioterapia manual Mallorca";"51320";"Datos de interés, Diplomatura en fisioterapia, Grado de Fisioterapia";;"Realizar tratamiento fisioterapia manual. Imprescindible estar dado de alta en autónomos y tener camilla plegable";"Fisioterapia";"Calvià";"Precio/hora";"Oferta laboral";"01/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51320.html?locale=es"
"95";"Auxiliar administrativo/a";"51266";"Datos de interés, Grado de Administración de Empresas, Doble titulación: grado de administración de empresas y grado de turismo, Grado de Economía, Alemán, Inglés";;"Auxiliar administrativo/a, trabajos de gestoría, presentación de impuestos...";"ASESORIA FISCAL Y CONTABLE";"Palma";"1100";"Oferta laboral";"21/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51266.html?locale=es"
"96";"Prácticas en departamento de mantenimiento corporativo";"51257";"Datos de interés, Grado de Ingeniería de Edificación";"5";"-Desarrollo del plan de mantenimiento corporativo de todos los hoteles-Gestion de calendarios de inspecciones reglamentarias -Control de aplicaciones energéticas-Control de aplicación de legionela y piscinas-Entre otros";"Hoteleria";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"01/03/2019 - 30/09/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51257.html?locale=es"
"97";"Profesor/a de Inglés en Sencelles";"51253";"Datos de interés, Inglés, Maestro de lengua extranjera, Grado de Estudios Ingleses, Grado de Traducción e Interpretación: Inglés Francés, Grado de Traducción e Interpretación: Inglés y Alemán";;"Impartir clases de inglés en una escuela de idiomas de manera muy dinámica, creativa, divertida. Motivar a los alumnos. Clases 100% en Inglès. Trabajamos en Versión Original.";"Idiomes";"Sencelles";"a convenir";"Oferta laboral";"14/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51253.html?locale=es"
"98";"Booking Agent (media jornada)";"51251";"Datos de interés, Castellano, Inglés, Grado de Turismo, Diplomatura en turismo, Doble titulación: grado de administración de empresas y grado de turismo, Doble titulación: grado de economia y grado de turismo";;"The main purpose of the role is to assist clients (TTOO, Travel Agencies and final customers) with any requirement, contact with suppliers and managing bookings according to Operations Department standards and processes, in order to cover and solve the needs of the clients in the most efficient way.Key responsibilities:- To assist calls and emails from clients with any requirement regarding bookings.- Manage bookings, amending them or cancelling them according to the procedures stablished in the Department.- Provide information and advice of the products and contact with suppliers when is required.";"Turismo";"Palma";"9.800";"Oferta laboral";"21/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51251.html?locale=es"
"99";"Agent de booking de reserves";"51250";"Datos de interés, Inglés, Grado de Turismo, Grado de Administración de Empresas, Licenciatura en administración y dirección de empresas, Diplomatura en turismo, Doble titulación: grado de administración de empresas y grado de turismo, Windows XP";;"Atenció telefònica i gestió de reserves de TTOO, així com tasques administratives que requereix el lloc";"Agencia de viajes receptiva";"Palma";"1200";"Oferta laboral";"22/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51250.html?locale=es"
"100";"Estudiante Grado Edificación";"51243";"Datos de interés, Grado de Ingeniería de Edificación, Inglés";"5";"Las tareas a desempeñar son la de ayudante de jefe de obra. Somos una empresa nueva de gente joven y buscamos una persona dinámica con ganas de aprender y que a su vez luego pueda formar parte de nuestro equipo.";"CONSTRUCCIÓ I ARQUITECTURA";"Manacor";"450";"Prácticas para estudiantes universitarios grado y postgrado";"04/02/2019 - 09/08/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51243.html?locale=es"
"101";"Consultor/a Programa gestión hotelera";"51227";"Datos de interés, Grado de Turismo, Doble titulación: grado de administración de empresas y grado de turismo, Doble titulación: grado de economia y grado de turismo, Grado de Administración de Empresas, Doble titulación: grado de administración de empresas y grado de derecho, Diploma Universitario de Dirección Hotelera Internacional, Dirección Hotelera Internacional";"5";"Tras la formación en todos los departamentos del programa de gestión hotelera (PMS) Ruta dará soporte a los clientes atendiendo a sus preguntas de funcionalidad y parametrización.Las tareas principales serán:Apoyo a los usuarios en funcionalidad, como ayudar a los usuarios de la recepción de nuestros hoteles clientes a realizar nuevas reservas, cancelaciones, abonos, facturas,... Conocer el funcionamiento del departamento de Recepción al completo, así como el resto de departamentos que forman el conjunto de un hotel.Apoyo a la formación. Tiene que asistir con el consultor tutor a las jornadas de formación de apoyo que se hacen para los clientes. A medida que vaya adquiriendo conocimiento tendrá que ser proactivo y asesorar al usuario cliente.Gestión de la herramienta de Apoyo.";"PROGRAMACION INFORMATICA";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"04/03/2019 - 05/09/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51227.html?locale=es"
"102";"Ofic. de Información Turística de S'Illot y Calas de Mallorc";"51115";"Datos de interés, Inglés, Grado de Turismo, Doble titulación: grado de administración de empresas y grado de turismo, Alemán, Open Office";"5";"- Dar información relacionada con el término municipal de Manacor.- Revisar el stock de la Oficina de Turismo referente a folletos, planos, etc.- Revisar el correo electrónico de la Delegación.- Hacer traducciones.- Apoyo a la Oficina de Turismo de Manacor.";"Administració pública";"Manacor";"450";"Prácticas para estudiantes universitarios grado y postgrado";"01/05/2019 - 30/09/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51115.html?locale=es"
"103";"Despacho graduado/a social";"51077";"Datos de interés, Grado de Relaciones Laborales";"4";"Tramitación altas y bajas en seg social, contratos de trabajo, comunicaciones al Inem, tramitación partes delta, y partes de incapacidad temporal.";"Asesoria laboral";"Palma";"360";"Prácticas para estudiantes universitarios grado y postgrado";"21/01/2018 - 29/08/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51077.html?locale=es"
"104";"Prácticas Correduría de Seguros";"50977";"Datos de interés, Inglés, Castellano, Microsoft Excel, Grado de Administración de Empresas, Grado de Economía";"5";"Apoyo a las oficinas, atención telefónica, cuadro de facturación, seguimiento y control de recibos impagados, confección de previsiones de cartera, realización de proyectos de seguros, tramitación de siniestros.";"";"Palma";"500";"Prácticas para estudiantes universitarios grado y postgrado";"01/02/2019 - 30/06/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50977.html?locale=es"
"105";"ELABORACION PROYECTO EDUCATIVO YOUTH HOSTEL-ALBERGUE JUVENIL";"50871";"Datos de interés, Inglés, Grado de Educación Social, Grado de Pedagogía, Grado de Educación Infantil, Internet Explorer, Microsoft Word, Microsoft Excel";"4";"-Estudiar y conocer la normativa relacionada con los establecimientos de alojamiento turístico juvenil en las Islas Baleares (Decret23/2018 y Llei 10/2006) y más concretamente los requisitos relacionados con el Proyecto Educativo-Una vez conocidos y estudiados los requisitos de dicha normativa y del Proyecto Educativo y conociendo el ámbito de aplicación, establecer los objetivos, metas y requisitos económicos para llegar a la elaboración completa de dicho Proyecto Educativo.-Estudiar todas las alternativas de formación que puedan incorporarse.-Puesta en marcha y aplicación práctica del Proyecto para dar cumplimiento a normativa.-Establecer métodos de seguimiento del cumplimiento, evaluación y optimización del Proyecto una vez puesto en marcha.";"Alojamiento turístico juvenil - Albergue Juvenil";"";"500";"Prácticas para estudiantes universitarios grado y postgrado";"22/01/2019 - 31/03/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50871.html?locale=es"
"106";"Auxiliar administrativo/a";"50263";"Datos de interés, Inglés, Diplomatura en ciencias empresariales, Licenciatura en administración y dirección de empresas, Licenciatura en economía, Grado de Administración de Empresas, Grado de Economía, Administrativo/a, Microsoft Excel";;"- Gestión de cobros de clientes y pago a proveedores- Verificación y reclamación de facturas- Tareas relacionadas con el cierre contable- Otros tareas administrativas y de gestiónImprescindible nivel alto de inglés (demostrable)Incorporación inmediata";"CENTRAL DE RESERVAS";"Palma";"18.000 - 20.000 negociables";"Oferta laboral";"28/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50263.html?locale=es"
"107";"Administrativo/a Dpto. laboral";"50229";"Datos de interés, Diplomatura en relaciones laborales, Grado de Relaciones Laborales, Diplomatura en graduado social, Asesor/a laboral";;"Trámites de altas, bajas y modificaciones de contratos. Confección de nóminas.Siltra, seguros sociales y todas aquellas tareas relacionadas con un departamento laboral.";"Gestoria administrativa";"Palma";"Convenio";"Oferta laboral";"28/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50229.html?locale=es"
"108";"Ingeniero Mecánico";"49704";"Datos de interés, Ingeniería industrial, Grado de Ingeniería Electrónica Industrial y Automática, Grado de Ingeniería Mecánica";;"Sus funciones principales:- Optimización de procesos productivos.- Control de calidad.- Planeación de producto.- Mantenimiento de maquinaria pesada.- Especificar materiales, costos y duración de la ejecución.- Evaluación de proyectos.- Identificar y resolver problemas relacionados con máquinas, herramientas etc.- Seguimiento de la productividad de los operarios.- Seguimiento de la calidad en la finalización de los trabajos.- Distribución de la carga de trabajo.";"Automovil";"Palma";"30.000€";"Oferta laboral";"21/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-49704.html?locale=es"
"109";"Prácticas asesoría fiscal y contable";"51256";"Datos de interés, Grado de Administración de Empresas";"5";"Apoyo a la contabilidad de las pymes del despacho. Elaboración de declaraciones fiscales para su presentación telemática.";"Fiscalidad, contabilidad y gestión empresarial";"Palma";"510,20";"Prácticas para estudiantes universitarios grado y postgrado";"22/01/2019 - 29/07/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51256.html?locale=es"
"110";"Content / SEO Manager JR";"51254";"Datos de interés, Inglés, Grado de Administración de Empresas, Doble titulación: grado de administración de empresas y grado de turismo, Grado de Turismo, Márqueting Digital y Dirección Comunitaria (Community Management)";"5";"En el departamento de Content Marketing manejarás el mercado ES y Latam y trabajarás para hacerlos crecer. Desarrollarás diferentes tareas y proyectos innovadores en el sector, que incluyen:-Crear contenidos orientados a SEO. -Campañas de email marketing y benchmarking. Analizamos los datos de tráfico y tendencias de búsqueda para enviar campañas relevantes orientadas a un objetivo de tráfico y conversión. -Campañas de push notifications. En Hundredrooms tendrás la oportunidad de aprenderlo todo sobre uno de los canales con más potencial en 2018. Realizarás diferentes campañas y envíos segmentados siguiendo una estrategia de contenidos personalizados y de calidad.-Social Media marketing. Tú decides qué contenidos publicamos cada semana, cómo y cuando, y llevarás el A/B testing de esos contenidos.-Creación de contenido para el blog tanto orientados a SEO como orientados a Social Media.-Medirás el impacto de los planes de content marketing analizando contínuamente nuestros KPIs principales.";"El primer metabuscador creado con el objetivo de ofrecer la mejor calidad al menor precio de apartamentos, hoteles y casas para que tu búsqueda sea más rápida y fácil.";"Palma";"700";"Prácticas para estudiantes universitarios grado y postgrado";"11/02/2019 - 19/08/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51254.html?locale=es"
"111";"Biólogo/a ingeniero/a agrònom/a para empresa de semillas";"51247";"Datos de interés, Inglés, Ingeniería técnica agrícola, Grado de Biología, Licenciatura en biología, Grado de Ingeniería Agroalimentaria y del Medio Rural, Ingeniería en agronomía, Microsoft Excel";;"Las tareas principales serían: elaboración de programas de mejora genética en una especie o familia de hortícolas, ejecución y supervisión de la siembra y seguimiento del cultivo (observaciones, tomada de notas, etc). Paralelamente elaboración de programas de producción de entonces, control de estas producciones para destinarlas a comercialización, conocimiento de mercados y contacto con clientes para definir los objetivos de los programas de mejora.";"Recerca i comercialització de llavors en el sector hortícola";"Llucmajor";"Entre 1200 y 1500";"Oferta laboral";"01/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51247.html?locale=es"
"112";"Prácticas ingeniería electrónica";"51241";"Datos de interés, Grado de Ingeniería Electrónica Industrial y Automática";"4";"Apoyo en el cálculo y dimensionado de instalaciones fotovoltaicas, térmicas e hidráulicas. Ayuda con la elaboración de presupuestos y proyectos de instalación de energías renovables e hidráulicas.";"";"Palma";"400";"Prácticas para estudiantes universitarios grado y postgrado";"01/02/2019 - 24/09/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51241.html?locale=es"
"113";"Administrativo/a para asesoría jurídico-fiscal";"51195";"Datos de interés, Administrativo/a, Grado de Administración de Empresas, Alemán, Inglés";;"Se precisa administrativo/a con experiencia mínima de 3 años en tramitación juridico-fiscal.";"ASESORAMIENTO FISCAL, JURÍDICO Y MERCANTIL";"Palma";"A convenir";"Oferta laboral";"07/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51195.html?locale=es"
"114";"Prácticas departamento de administración";"51139";"Datos de interés, Doble titulación: grado de economia y grado de turismo, Grado de Economía";"5";"Tareas: Tesorería, conciliación bancaria, interlocución y gestión con entidades bancarias. Contabilización. Apoyo en gestión documental de auditorías internas y externas del departamento. Facturación";"COMERCIO";"Palma";"397,95";"Prácticas para estudiantes universitarios grado y postgrado";"01/02/2019 - 07/06/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51139.html?locale=es"
